mode,episode,success,rounds,total_commands,wait_commands,wait_rate,skill_errors,transport_no_item,transport_no_item_wait,intent_total,intent_errors,intent_accuracy
full,1,1,27,81,16,0.19753086419753085,0,0,0,81,0,1.0
full,2,1,27,81,16,0.19753086419753085,0,0,0,81,0,1.0
full,3,1,27,81,17,0.20987654320987653,0,0,0,81,0,1.0
full,4,1,28,84,15,0.17857142857142858,0,1,0,84,1,0.9880952380952381
full,5,1,28,84,18,0.21428571428571427,0,0,0,84,0,1.0
no-blackboard,1,1,57,171,19,0.1111111111111111,0,0,0,171,0,1.0
no-blackboard,2,1,45,135,20,0.14814814814814814,0,0,0,135,0,1.0
no-blackboard,3,1,57,171,21,0.12280701754385964,0,0,0,171,0,1.0
no-blackboard,4,1,40,120,17,0.14166666666666666,0,0,0,120,0,1.0
no-blackboard,5,1,47,141,18,0.1276595744680851,2,0,0,141,2,0.9858156028368794
